epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.5335,0.96685,2.13999,1.4227,0.69522,0.83342,0.85666,0.57498,1.08013,1.4167,1.73839,0.000368987,0.000368987,0.000368987
2,158.161,1.00607,1.3942,1.41984,0.77467,0.82024,0.86317,0.57133,1.13584,1.10492,1.75141,0.000724681,0.000724681,0.000724681
3,234.619,1.02311,1.20143,1.4161,0.86562,0.78667,0.88066,0.54953,1.28714,1.07769,1.871,0.00106571,0.00106571,0.00106571
4,309.216,1.02137,1.0891,1.41204,0.87546,0.85804,0.91903,0.61958,1.09358,0.84005,1.64858,0.00104501,0.00104501,0.00104501
5,383.027,0.98176,0.95618,1.37814,0.82982,0.80982,0.86931,0.59518,1.06464,0.85272,1.6163,0.00102301,0.00102301,0.00102301
6,457.098,0.93486,0.87879,1.35073,0.92559,0.9358,0.96221,0.70611,0.99514,0.64474,1.5677,0.00100101,0.00100101,0.00100101
7,531.701,0.93198,0.846,1.35329,0.91315,0.92323,0.94466,0.65795,1.02707,0.69323,1.58465,0.000979013,0.000979013,0.000979013
8,606.792,0.90915,0.78731,1.32628,0.9293,0.95104,0.96744,0.68957,1.00598,0.64058,1.54296,0.000957015,0.000957015,0.000957015
9,681.075,0.89293,0.7528,1.31784,0.91547,0.92016,0.94868,0.69221,0.9442,0.62626,1.48931,0.000935018,0.000935018,0.000935018
10,754.33,0.87814,0.73539,1.31165,0.96497,0.95054,0.97005,0.71206,0.97559,0.52939,1.53271,0.00091302,0.00091302,0.00091302
11,828.78,0.85932,0.69952,1.30386,0.91493,0.93922,0.95318,0.72027,0.92794,0.53689,1.45777,0.000891022,0.000891022,0.000891022
12,902.69,0.85258,0.68062,1.28585,0.9414,0.95171,0.96063,0.72225,0.95649,0.5035,1.52787,0.000869024,0.000869024,0.000869024
13,977.152,0.8389,0.65633,1.28052,0.96813,0.94913,0.96263,0.73021,0.89633,0.47438,1.43003,0.000847026,0.000847026,0.000847026
14,1051,0.83775,0.65753,1.27876,0.95812,0.9598,0.97621,0.73568,0.92332,0.4575,1.4843,0.000825029,0.000825029,0.000825029
15,1125.16,0.83047,0.63419,1.27424,0.95096,0.96952,0.97365,0.73382,0.92404,0.45892,1.44852,0.000803031,0.000803031,0.000803031
16,1198.44,0.82473,0.62088,1.2751,0.96195,0.97195,0.97555,0.73877,0.91267,0.44512,1.47526,0.000781033,0.000781033,0.000781033
17,1272.03,0.8049,0.59708,1.2601,0.96982,0.96347,0.97497,0.75028,0.85147,0.45267,1.43563,0.000759035,0.000759035,0.000759035
18,1349.07,0.79996,0.58643,1.25992,0.96083,0.97348,0.97375,0.73812,0.90313,0.48346,1.45262,0.000737037,0.000737037,0.000737037
19,1422.69,0.80497,0.58432,1.25724,0.96817,0.97094,0.97689,0.7469,0.8559,0.47793,1.40073,0.00071504,0.00071504,0.00071504
20,1495.58,0.80459,0.57678,1.26004,0.96104,0.98222,0.97563,0.74275,0.87453,0.44887,1.42407,0.000693042,0.000693042,0.000693042
21,1574.44,0.78577,0.56639,1.24506,0.95428,0.97489,0.97544,0.74051,0.85028,0.41087,1.43031,0.000671044,0.000671044,0.000671044
22,1648.02,0.78886,0.55242,1.24921,0.95306,0.97328,0.97324,0.73425,0.92466,0.41219,1.48824,0.000649046,0.000649046,0.000649046
23,1722.53,0.77458,0.55217,1.23709,0.95157,0.96026,0.96562,0.74834,0.89579,0.41689,1.47416,0.000627048,0.000627048,0.000627048
24,1795.9,0.76135,0.53491,1.22783,0.96422,0.97481,0.97613,0.74497,0.85215,0.42883,1.4363,0.000605051,0.000605051,0.000605051
25,1869.53,0.76387,0.52504,1.22619,0.97288,0.9855,0.97697,0.7543,0.91248,0.40392,1.4763,0.000583053,0.000583053,0.000583053
26,1943.31,0.75673,0.52974,1.23523,0.97168,0.97451,0.97846,0.74511,0.87409,0.38891,1.42525,0.000561055,0.000561055,0.000561055
27,2016.81,0.7469,0.52042,1.22324,0.97563,0.98421,0.97809,0.75374,0.85733,0.38237,1.43448,0.000539057,0.000539057,0.000539057
28,2091.03,0.7341,0.50131,1.22072,0.96777,0.98306,0.97985,0.75469,0.90425,0.37839,1.43647,0.000517059,0.000517059,0.000517059
29,2163.8,0.73652,0.51129,1.21912,0.95918,0.98007,0.97854,0.75782,0.8482,0.37812,1.44121,0.000495062,0.000495062,0.000495062
30,2237.47,0.73602,0.50358,1.2188,0.97031,0.97618,0.97731,0.76351,0.86882,0.36756,1.45742,0.000473064,0.000473064,0.000473064
31,2311.22,0.72828,0.48827,1.22078,0.97008,0.97313,0.97761,0.75736,0.8849,0.36551,1.43991,0.000451066,0.000451066,0.000451066
32,2384.81,0.71904,0.49172,1.20865,0.97221,0.97147,0.98218,0.75255,0.85131,0.35993,1.40365,0.000429068,0.000429068,0.000429068
33,2458.31,0.71813,0.47425,1.20563,0.9691,0.97877,0.97541,0.76081,0.8512,0.35645,1.41259,0.00040707,0.00040707,0.00040707
34,2530.91,0.69746,0.46683,1.19014,0.97361,0.98053,0.97493,0.76036,0.85711,0.38218,1.41621,0.000385073,0.000385073,0.000385073
35,2604.51,0.70301,0.47151,1.19193,0.97648,0.98317,0.97924,0.76255,0.88048,0.3446,1.43927,0.000363075,0.000363075,0.000363075
36,2677.67,0.68966,0.46283,1.19075,0.97595,0.98225,0.97825,0.7585,0.8602,0.36487,1.44773,0.000341077,0.000341077,0.000341077
37,2750.56,0.69001,0.46488,1.1887,0.95831,0.96606,0.97296,0.75806,0.8298,0.39844,1.39959,0.000319079,0.000319079,0.000319079
